SMILE,CHEMBL-ID,IGC50
N#C[C@H](O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)c1ccccc1,CHEMBL461727,2.778975434
Cc1occc1C(=O)Nc1ccccc1,CHEMBL1862959,3.789055208
CC(C)=CCCC(C)=CC=O,CHEMBL2297541,4.469770504
C1=CC=C2C(=C1)C=CC3=C2C=CC4=C3C=CC5=CC=CC=C54,PubChem CID-9162,4.639136611
c1ccsc1,CHEMBL278958,1.537608795
c1ccc2scnc2c1,CHEMBL510309,2.957243422
Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,CHEMBL1641351,4.918444567
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,CHEMBL135,4.288562152
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,CHEMBL1873703,4.814031409
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,CHEMBL429023,4.203880335
O=C1CCCN1,CHEMBL276849,1.402136223
Clc1ccc2ccccc2c1,CHEMBL372646,4.084090447
C=CCCC,CHEMBL295337,2.69024029
CCC1(c2ccccc2)C(=O)NCNC1=O,CHEMBL856,2.785619159
CCCCCCCCCCCCCC,CHEMBL135488,5.105976617
CC(C)Cl,CHEMBL15697,2.441448134
CCC(C)CO,CHEMBL451923,2.086227957
N#Cc1ccccc1,CHEMBL15819,2.704999484
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,CHEMBL388560,3.384300565
CCCCCCCCCC(C)O,CHEMBL4633278,4.49392685
Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,CHEMBL1641351,4.953298646
O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2,CHEMBL1522462,3.272905901
CCOP(=S)(OCC)SCSCC,CHEMBL510014,4.46524541
CCOc1ccc(NC(C)=O)cc1,CHEMBL16073,3.204846752
